"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_algal","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"SFE-M-1S","SFE-M","2022-09-06","TM",1,0,0,0,6,4,0,6,0,0.1,0,66.9,0,9,4,0,0,3,0,0,0,0,0,8.17,22.466,7.399,NA,6.473,0.024,0.00868,8.17,16.7,0.6444,7.92,11.66,0.1,10.52,1.11,11.1,15.91,1.685,0.586,0,2.271,5159.95975929171,487.214539171527,70.81,0.0004401,3.2071741
"SFE-M-1S","SFE-M","2022-09-17","TM",2,0,0,0,5,5,0,8,0,0,0,56,0,9,3,2,0,10,0,0,0,0,0,7.97,19.96,7.813,251.2,5.342,0.023,0.00694,7.97,19.63,0.4319,8.26,11.55,0.09,10.64,1.09,12.03,11.13,1.877,0.411,0,2.288,5867.9352594907,706.779257420591,69.72,0.0003899,3.2816982
"SFE-M-3","SFE-M","2022-06-29","TM",0,0,0,0,6,1,0,6,0,0,0,77,0,3,4,2,0,1,0,0,0,0,0,NA,23.6,9.793,NA,5.812,0.011,0.00788,8.88,14.29,1.194,5.67,10.87,0.005,9.12,0.91,9.73,17.5,0,0,0,0,7984.72078972217,93.8230409841889,18.3,0,0
"SFE-M-3","SFE-M","2022-07-14","TM",8,0,0,0,5,0,0,4,0,0,0,62,0,7,10,2,0,2,0,0,0,0,0,NA,23.63,10.255,229.6,4.093,0.011,0.00516,8.88,11.9,0.5737,6.29,10.61,0.09,9.43,0.96,9.83,14.86,0,0,0,0,7984.72078972217,NA,57.47,0,0
"SFE-M-3","SFE-M","2022-07-28","TM",5,0,0,0,12,1,0,10,0,0,0,54,0,2,8,2,0,3,0,0,3,0,0,8.88,25.83,10.77,216.9,5.73,0.006,0.00335,8.88,18.55,0.9554,6.61,10.53,0.005,9.6,1,9.02,18.11,0,0,0,0,8896.93867753363,86.6011493829818,70.78,0,0
"SFE-M-3","SFE-M","2022-08-10","TM",3,0,0,0,7,2,0,8,0,0,0,70,0,2,3,0,0,5,0,0,0,0,0,8.63,24.71,10.236,240.3,3.68,0.028,0.06271,8.63,14.49,2.551,7,10.46,0.08,9.94,1.02,10.08,12.11,0.384,0.251,0,0.635,9451.4240059212,20.5750638236494,79.45,6.72e-05,0.7992448
"SFE-M-3","SFE-M","2022-08-23","TM",0,0,0,0,5,1,0,5,0,0,0,80,0,5,3,0,0,1,0,0,0,0,0,8.62,24.71,9.626,248.4,3.8,0.018,0.00769,8.62,19.07,0.6235,7.58,11.34,0.1,10.45,1.12,10.78,16.43,0.861,0,0,0.861,9084.64286754923,428.651918090983,71.795,9.48e-05,1.1992479
"SFE-M-3","SFE-M","2022-09-06","TM",0,0,0,0,3,1,0,8,0,0,0,78,0,6,2,0,0,2,0,0,0,0,0,8.47,24.115,9.223,NA,6.4115,0.014,0.006595,8.47,18.77,0.54,3.46,5.16,0.05,4.46,0.47,5.85,13.53,0.198,0.132,0,0.33,8003.00740759614,241.753703028422,63.584,4.12e-05,0.5189985
"SFE-M-3","SFE-M","2022-09-17","TM",0,0,0,0,5,3,0,4,0,0,0,69,0,12,5,0,0,2,0,0,0,0,0,8.37,19.66,9.033,246.7,5.058,0.015,0.00769,8.37,15.68,0.4455,8.49,11.77,0.11,10.71,1.17,11.19,17.53,0.3467,0.1333,0,0.48,9191.61981891121,467.429635388257,76.34,5.22e-05,0.628766
"SFE-M-4","SFE-M","2022-06-29","TM",0,0,0,0,5,0,0,5,0,0,0,54,0,2,11,20,0,3,0,0,0,0,0,NA,25.43,10.132,NA,7.008,0.013,0.005,9.14,19.32,2.451,5.78,10.8,0.1,9.23,0.93,9.88,16.51,0,0,0,0,4894.78335918051,30.0269388954029,18.3,0,0
"SFE-M-4","SFE-M","2022-08-10","TM",10,0,0,0,25,5,0,7,0,5,0.1,33.8,0,6,4,1,0.1,3,0,0,0,0,0,8.92,27.1,11.405,239.4,3.996,0.027,0.009035,8.92,15.7,0.6784,7.09,10.95,0.09,10.14,1.06,10.25,14.93,69.894,32.293,0,102.187,5310.07858543501,1071.60310097627,43.11,0.019244,237.0378103
"SAL-1S","SAL","2023-08-10","TM",0,0,0,0,0.1,0,0,0,0,0,0,79.9,0,15,4,0,0,1,0,0,0,0,0,7.9,20.6,8.66,127.4,6.826,0.011,0.00339,7.9,6.123,0.543,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1698.05103469658,43.8780745620338,29.065,0,0
"SAL-2","SAL","2023-08-10","TM",0,0,0,0,0,0,0,1,0,0,0,83,0,10,4,0,0,2,0,0,0,0,0,7.92,20.9,8.32,126.6,5.906,0.011,0.00097,7.92,7.558,0.614,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2926.28301775293,170.506296382604,32.47,0,0
"SAL-3","SAL","2023-08-10","TM",0,0,0,0,2,0,0,15,0,0,0,74,0,5,3,0,0,1,0,0,0,0,0,7.75,22,8.33,127.8,6.048,0.011,0.004485,7.75,8.488,0.437,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3410.33337629206,157.533226296908,39.08,0,0
"SFE-M-1S","SFE-M","2023-08-14","TM",1,0,0,0,2,0,0,10,0,0,0,75.9,0,3,3,0,0.1,5,0,0,0,0,0,8.14,25.6,7.48,249,4.712,0.0305,0.00619,8.14,9.137,0.769,NA,NA,NA,NA,NA,NA,NA,0.964,0.099,0,1.063,8783.80585464611,556.083473085505,74.93,0.000121,1.4186574
"SFE-M-1S","SFE-M","2023-08-22","TM",0,0,0,0,2,0,0,15,0,0,0,74,0,5,1,0,0,3,0,0,0,0,0,7.9,23.1,6.94,262,6.351,0.036,0.00947,7.9,13.66,0.598,NA,NA,NA,NA,NA,NA,NA,3.252,0.582,0,3.834,13362.6865126904,816.857147112983,68.17,0.0002869,5.6241749
"SFE-M-1S","SFE-M","2023-08-28","TM",0,0,0,0,0,1,0,5,0,0,0,87,0,3,2,0,0,2,0,0,0,0,0,8.02,22.9,7.32,261,5.3075,0.0285,0.00756,8.02,14.925,0.8515,NA,NA,NA,NA,NA,NA,NA,4.352,0.966,0,5.318,13907.5985179894,19.9540047173045,73.43,0.0003824,7.2422716
"SFE-M-1S","SFE-M","2023-09-04","TM",0.1,0,0,0,1,0,0,6,0,0,0,77.9,0,8,5,0,0,2,0,0,0,0,0,7.96,21.5,8.06,259,5.189,0.025,0.00701,7.96,10.59,0.457,NA,NA,NA,NA,NA,NA,NA,18.1193,3.1097,0,21.229,14746.2908191145,520.042510389661,75.698,0.0014396,28.0443341
"SFE-M-1S","SFE-M","2023-09-12","TM",0.1,0,0,0,2,0,10,18,0,0,0,59.9,0,5,3,0,0,2,0,0,0,0,0,7.94,21.4,7.17,255,5.151,0.028,0.007655,7.94,13.54,0.489,NA,NA,NA,NA,NA,NA,NA,11.952,1.078,0,13.03,9276.3763651215,1040.57139975383,75.83,0.0014046,17.1831729
"SFE-M-1S","SFE-M","2023-09-18","TM",0.1,0,0,0,6,0.1,0,15,0,0,0,64.8,0,5,4,0,0,5,0,0,0,0,0,7.91,21.9,7.07,257,6.953,0.028,0.01542,7.91,13.49,0.401,NA,NA,NA,NA,NA,NA,NA,36.812,4.958,0,41.77,14594.0611577872,861.056883054194,75.44,0.0028621,55.3685048
"SFE-M-1S","SFE-M","2023-09-24","TM",0.1,0,0,0,7,0,0,9,0,0,0,63.9,0,15,3,0,0,2,0,0,0,0,0,7.94,19.2,8.08,254,5.085,0.035,0.00687,7.94,13.1,0.467,NA,NA,NA,NA,NA,NA,NA,11.87,1.375,0,13.245,14913.5557274794,264.967756077211,78.67,0.0008881,16.836151
"SFE-M-2","SFE-M","2023-08-14","TM",0.1,0,0,0,2,0,0,10,0,0,0,66.9,0,5,15,0,0,1,0,0,0,0,0,8.15,26.6,7.75,248,3.97,0.011,0.00348,8.15,10.07,0.714,NA,NA,NA,NA,NA,NA,NA,1.643,0.289,0,1.932,19844.6373967772,1520.03277413342,59.08,9.74e-05,3.2701422
"SFE-M-2","SFE-M","2023-08-22","TM",4,0,0,0,2,1,0,2,0,0,0,80,0,5,3,0,0,3,0,0,0,0,0,8.08,23.1,7.4,262,5.972,0.037,0.01886,8.08,11.3,1.394,NA,NA,NA,NA,NA,NA,NA,14.72,2.57,0,17.29,15312.4366626218,182.690997234571,55.95,0.0011291,30.9025916
"SFE-M-2","SFE-M","2023-08-28","TM",0,0,0,0,1,0,0,2,0,0,0,92,0,3,1,0,0,1,0,0,0,0,0,8.1,22.5,7.93,260,6.354,0.024,0.00566,8.1,12.65,0.65,NA,NA,NA,NA,NA,NA,NA,14.081,2.529,0,16.61,12178.063706543,599.207625748467,47.56,0.0013639,34.9243061
"SFE-M-2","SFE-M","2023-09-04","TM",0,0,0,0,0,0,0,1,0,0,0,90,0,5,3,0,0,1,0,0,0,0,0,8.06,22.1,7.82,259,5.232,0.034,0.00693,8.06,9.429,0.389,NA,NA,NA,NA,NA,NA,NA,16,2.032,0,18.032,14585.050814037,1601.57992360969,43.82,0.0012363,41.1501597
"SFE-M-2","SFE-M","2023-09-12","TM",0.1,0,0,0,1,0.1,0,7,0,0,0,83.8,0,5,2,0,0,1,0,0,0,0,0,8.18,22.1,8.46,253,6.14,0.016,0.00728,8.18,15.69,0.605,NA,NA,NA,NA,NA,NA,NA,8.982,0.915,0,9.897,14234.0616867688,1520.56725497976,61.318,0.0006953,16.1404482
"SFE-M-2","SFE-M","2023-09-18","TM",0,0,0,0,1,0,0,3,0,0,0,77,0,15,2,0,0,2,0,0,0,0,0,8.07,22.5,7.93,256,5.661,0.027,0.00757,8.07,12.37,0.431,NA,NA,NA,NA,NA,NA,NA,5.437,0.458,0,5.895,14676.1069846081,324.888771102825,54.7,0.0004017,10.7769653
"SFE-M-2","SFE-M","2023-09-24","TM",0.1,0,0,0,0.1,0,0,5,0,0,0,78.7,0,7,8,0,0,1,0,0,0,0,0.1,8.1,19.1,8.83,252,4.8365,0.027,0.00788,8.1,10.2385,0.6965,NA,NA,NA,NA,NA,NA,NA,2.7717,0.2957,0,3.0674,12954.6774501749,1524.58186935969,57.635,0.0002368,5.3221133
"SFE-M-3","SFE-M","2023-08-14","TM",0.1,0,0,0,10,0,0,8,0,0,0,73.9,0,5,2,0,0,1,0,0,0,0,0,8.18,27.2,7.82,246,4.7255,0.019,0.005585,8.18,12.365,0.8565,NA,NA,NA,NA,NA,NA,NA,5.499,1.1477,0,6.6467,9464.3192393985,220.25107639938,75.062,0.0007023,8.8549466
"SFE-M-3","SFE-M","2023-08-22","TM",2,0,0,0,10,1,0,4,0,0,0,60,0,8,10,0,0,5,0,0,0,0,0,8.02,23.5,7.94,262,4.687,0.026,0.00095,8.02,10.49,0.66,NA,NA,NA,NA,NA,NA,NA,6.2913,1.071,0,7.3623,14462.814046783,144.562586524285,75.979,0.0005091,9.6899143
"SFE-M-3","SFE-M","2023-08-28","TM",0,0,0,0,4,0,0,6,0,0,0,78,0,8,3,0,0,1,0,0,0,0,0,8.12,23.3,8.09,259,4.956,0.025,0.00515,8.12,12.11,1.091,NA,NA,NA,NA,NA,NA,NA,17.336,3.198,0,20.534,8164.37586947744,2572.67470652272,79.31,0.0025151,25.8908082
"SFE-M-3","SFE-M","2023-09-04","TM",0.1,0,0,0,6,0,0,5,0,0,0,73.9,0,9,4,0,0,2,0,0,0,0,0,7.97,22.8,7.96,259,4.77,0.027,0.00631,7.97,12.1,0.431,NA,NA,NA,NA,NA,NA,NA,22.963,2.867,0,25.83,13876.8921912851,6.90021500801954,73.18,0.0018614,35.2965291
"SFE-M-3","SFE-M","2023-09-12","TM",0,0,0,0,0.1,0,0,10,0,0,0,76.9,0,6,2,0,0,5,0,0,0,0,0,8.13,21.3,7.8,255,5.763,0.0215,0.00094,8.13,12.15,0.556,NA,NA,NA,NA,NA,NA,NA,18.323,1.667,0,19.99,22668.334553092,1510.87920403518,72.85,0.0008818,27.4399451
"SFE-M-3","SFE-M","2023-09-18","TM",0,0,0,0,0.1,0,0,8,0,0,0,74.8,0,10,2,0,0,5,0,0,0,0,0.1,8.08,23.1,7.79,255,5.2865,0.0235,0.00646,8.08,12.14,0.531,NA,NA,NA,NA,NA,NA,NA,11.662,1.148,0,12.81,13353.8611958437,153.574957669004,74.01,0.0009593,17.3084718
"SFE-M-3","SFE-M","2023-09-24","TM",0.1,0,0,0,2,0,0,8,0,0,0,69.6,0,10,6,0,0,4,0,0.1,0.1,0,0.1,8.15,19.2,8.82,252,5.603,0.027,0.007165,8.15,13.41,0.496,NA,NA,NA,NA,NA,NA,NA,5.312,0.326,0,5.638,16078.2346405876,34.0615809131934,75.71,0.0003507,7.4468366
"SFE-M-4","SFE-M","2023-08-22","TM",3,0,0,0,8,2,0,12,0,0,0,52,0,10,5,0,5,3,0,0,0,0,0,8.32,25.5,10.06,258,4.424,0.028,0.00658,8.32,9.861,0.631,NA,NA,NA,NA,NA,NA,NA,83.438,15.628,0,99.066,6849.34974285411,781.143234167769,39.57,0.0144636,250.3563306
"SFE-M-4","SFE-M","2023-09-04","TM",0,0,0,0,0.1,0,0,5,0,0,0,79.9,0,10,2,0,0,3,0,0,0,0,0,8.25,23.8,9.09,258,4.8825,0.0145,0.004525,8.25,12.57,0.549,NA,NA,NA,NA,NA,NA,NA,1.699,0.238,0,1.937,5482.53293535525,26.0159812097594,33.67,0.0003533,5.7528958
"SFE-M-4","SFE-M","2023-09-18","TM",0,0,0,0,0,0,0,3,0,0,0,69,0,12,15,0,0,1,0,0,0,0,0,8.04,24.6,8.67,253,5.092,0.024,0.01027,8.04,15.9,0.496,NA,NA,NA,NA,NA,NA,NA,0.7077,0.062,0,0.7697,7804.90660170228,11384.2712631544,50.013,9.86e-05,1.5389999
"SFE-M-4","SFE-M","2023-09-24","TM",0.1,0,0,0,0.1,0,0,5,0,0,0,66.8,0,12,15,0,0,1,0,0,0,0,0,8.25,19.7,9.57,250,5.211,0.0235,0.00794,8.25,12.65,0.505,NA,NA,NA,NA,NA,NA,NA,0.101,0,0,0.101,15267.9287519338,944.387266927392,60.52,6.6e-06,0.166887
"SFE-SH-1S","SFE-SH","2023-08-14","TM",1,0,0,0,10,0,0,20,0,0,0,52,0,5,10,0,0,2,0,0,0,0,0,7.9,22.7,7.44,236,4.194,0.035,0.00712,7.9,10.17,0.446,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,13416.9863558644,339.210596435536,75.28,0,0
"SFE-SH-1S","SFE-SH","2023-08-22","TM",0.1,0,0,0,1,0,0,2,0,0,0,81.9,0,5,2,0,0,8,0,0,0,0,0,7.88,21.1,7.34,238,5.54,0.038,0.00455,7.88,12.265,0.401,NA,NA,NA,NA,NA,NA,NA,1.421,0.29,0,1.711,19096.4291911836,2006.1779813486,77.43,8.96e-05,2.2097378
"SFE-SH-1S","SFE-SH","2023-08-28","TM",0,0,0,0,6,0,0,8,0,0,0,73,0,4,4,0,0,5,0,0,0,0,0,7.98,20.6,8.47,240,4.853,0.031,0.00394,7.98,10.97,0.532,NA,NA,NA,NA,NA,NA,NA,5.8297,1.3563,0,7.186,13563.5726001237,489.229098535249,75.803,0.0005298,9.4798359
"SFE-SH-1S","SFE-SH","2023-09-04","TM",0,0,0,0,2,0,0,8,0,0,0,71,0,10,5,0,0,4,0,0,0,0,0,8.02,19.7,8.46,235,4.881,0.022,0.008355,8.02,11.74,0.378,NA,NA,NA,NA,NA,NA,NA,7.714,1.961,0,9.675,13816.2247697288,399.439321318414,80.37,0.0007003,12.0380739
"SFE-SH-1S","SFE-SH","2023-09-12","TM",0,0,0,0,4,0,0,6,0,0,0,79,0,5,3,0,0,3,0,0,0,0,0,7.98,19.3,8.37,232,4.225,0.021,0.00096,7.98,13.03,0.331,NA,NA,NA,NA,NA,NA,NA,4.583,0.561,0,5.144,4588.12796822413,6374.05012687974,76.93,0.0011212,6.6865982
"SFE-SH-1S","SFE-SH","2023-09-18","TM",0,0,0,0,2,0,0,20,0,0,0,58,0,10,3,0,0,6,0,0,1,0,0,7.97,19.9,8.34,232,4.806,0.03,0.00598,7.97,17.42,0.151,NA,NA,NA,NA,NA,NA,NA,7.295,1.009,0,8.304,14109.5956538144,1550.59921403266,79.33,0.0005885,10.4676667
"SFE-SH-1S","SFE-SH","2023-09-24","TM",0,0,0,0,2,0,0,12,0,0,0,70.9,0,4,8,0,0.1,3,0,0,0,0,0,7.95,17.6,8.86,231,4.928,0.024,0.0068,7.95,14.21,0.333,NA,NA,NA,NA,NA,NA,NA,6.946,0.705,0,7.651,10386.2485627078,1911.70752016521,81.26,0.0007366,9.4154566
"SAL-1S","SAL","2023-07-13","TM",0,0,0,0,0,0.4,0,0.7,0,0.0333333333333333,0,21.6666666666667,0,70.4333333333333,6.66666666666667,0,0,0.1,0,0,0,0,0,7.81,18.7,9.12,100.1,4.702,0.009,0.004885,7.81,5.766,1.609,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1797.46468755555,75.2013476435363,24.135,0,0
"SAL-1S","SAL","2023-07-27","TM",0,0,0,0,0,1.33333333333333,0,1.33333333333333,0,0,0,39.6666666666667,0,50.5666666666667,7,0,0,0.1,0,0,0,0,0,7.82,20.3,8.61,109.5,5.296,0.023,0.00477,7.82,7.566,0.957,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2224.05129728226,23.4464793259217,19.92,0,0
"SAL-2","SAL","2023-07-13","TM",0,0,0,0,0,0.7,0,0.4,0,0.333333333333333,0,25,0,64.4666666666667,9,0,0,0.1,0,0,0,0,0,7.93,19.3,8.99,99.3,4.825,0.0115,0.0045,7.93,5.5215,0.821,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1689.30946788263,104.822528257986,19.91,0,0
"SAL-2","SAL","2023-07-27","TM",0.0333333333333333,0,0,0,0,2,0,0.4,0,1,0,44.4666666666667,0,43.6666666666667,8.33333333333333,0,0,0.1,0,0,0,0,0,7.95,20.6,8.45,108.9,4.98,0.012,0.00096,7.95,6.798,0.632,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2218.00264297197,55.2418455974434,27.63,0,0
"SAL-3","SAL","2022-07-12","TM",0,0,0,0,0.0333333333333333,1.33333333333333,0,1.33333333333333,0,0,0.0333333333333333,48.2333333333333,0,42.3333333333333,5.66666666666667,0,0,1,0.0333333333333333,0,0,0,0,NA,22.59,9.087,113.3,6.9675,0.019,0.01374,8.11,10.72,2.31,1.11,3.64,0.05,2.46,0.74,3.58,13.34,0,0,0,0,6410.15787542345,37.9092324765811,75.83,0,0
"SAL-3","SAL","2023-06-28","TM",0,0,0,0,0,0,0,0.0333333333333333,0,0,0,31.6666666666667,0,63.6333333333333,4.66666666666667,0,0,0,0,0,0,0,0,8.12,17.4,9.02,83.1,5.178,0.018,0.00096,8.12,3.903,0.619,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,866.779613584425,11.696298768466,9.71,0,0
"SAL-3","SAL","2023-07-13","TM",0,0,0,0,0,0.4,0,0.7,0,0.1,0,14,0,71.1333333333333,13.6666666666667,0,0,0,0,0,0,0,0,8.01,19.9,9.01,99.2,5.0375,0.012,0.00423,8.01,6.858,0.962,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1896.81514382908,123.226913418407,26.84,0,0
"SAL-3","SAL","2023-07-27","TM",0,0,0,0,0,0.4,0,0.0333333333333333,0,0.4,0,50.8333333333333,0,42,6.33333333333333,0,0,0,0,0,0,0,0,7.94,21.6,7.99,109.5,4.841,0.0135,0.00226,7.94,6.492,1.4915,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2088.61776994029,13.7697034087141,33.08,0,0
"SFE-M-1S","SFE-M","2023-07-10","TM",0,0,0.0333333333333333,0,2.33333333333333,1.33333333333333,0,2,0,0,0,72.3,0,8,12,0,0,2,0,0,0,0,0,8.19,21.7,8.15,225,4.3125,0.011,0.00093,8.19,9.296,0.776,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7009.15329646886,703.837083780294,88.4,0,0
"SFE-M-1S","SFE-M","2023-07-17","TM",0.0333333333333333,0,0.666666666666667,0,3.33333333333333,1,0,7.66666666666667,0,0,0,60.6333333333333,0,16.3333333333333,8,0,0,2.33333333333333,0,0,0,0,0,8.5,23.5,9.08,220,4.04,0.01,0.00086,8.5,11.48,0.424,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9562.30003761592,715.215009481931,70.74,0,0
"SFE-M-1S","SFE-M","2023-07-24","TM",0,0,0.0666666666666667,0,1,2,0,6,0,0,0,75.5333333333333,0.0333333333333333,10,3.66666666666667,0.7,0,1,0,0,0,0,0,8.66,23.4,10.76,206,3.588,0.0125,0.00081,8.66,10.91,0.7795,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10104.0211861896,552.287874979569,70.69,0,0
"SFE-M-1S","SFE-M","2023-07-31","TM",5,0,3.33333333333333,1.66666666666667,6.66666666666667,2.66666666666667,0,10,0,1.33333333333333,0,45,0,16.3333333333333,5.33333333333333,0,0,2.66666666666667,0,0,0,0,0,8.5,23,9.09,209,3.506,0.013,0.00285,8.5,10.18,2.411,NA,NA,NA,NA,NA,NA,NA,0.225,0,0,0.225,8363.85708803398,119.595798350909,70.385,2.69e-05,0.3196704
"SFE-M-1S","SFE-M","2023-08-07","TM",0.666666666666667,0,0.0666666666666667,0.666666666666667,2.33333333333333,1.33333333333333,0,4.33333333333333,0,0.666666666666667,0,70.2666666666667,0,11,3.33333333333333,0,0,2,0,3.33333333333333,0,0,0,8.25,23.4,7.55,235,3.991,0.017,0.00605,8.25,9.754,0.554,NA,NA,NA,NA,NA,NA,NA,0.2943,0.07,0,0.3643,9269.0080399987,119.892172999028,69.024,3.93e-05,0.5277874
"SFE-M-2","SFE-M","2023-07-10","TM",0,0,0,0,1.33333333333333,1,0,6.33333333333333,0,0,0,66.6333333333333,0,15.6666666666667,8,0,0,1,0,0,0,0,0.0333333333333333,8.13,22.2,8.12,225,5.148,0.016,0.001455,8.13,10.0185,0.527,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1197.95752066313,14.0366792254497,5.79,0,0
"SFE-M-2","SFE-M","2023-07-24","TM",0.0666666666666667,0,0,0,3.33333333333333,1.33333333333333,0,2,0,0,0,49.2666666666667,0,38.3333333333333,4.33333333333333,0,0,1.33333333333333,0,0,0,0,0,8.3,24,8.01,213,3.911,0.01,9e-04,8.3,9.02,0.791,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2235.9414059793,40.7493543097854,15.92,0,0
